crop,state,year,month,season,modal_price,min_price,max_price
Rice,Punjab,2020,6,Kharif,1800,1600,2100
Rice,Punjab,2020,7,Kharif,1850,1650,2150
Rice,Punjab,2020,8,Kharif,1900,1700,2200
Rice,Punjab,2020,9,Kharif,1950,1750,2250
Rice,Punjab,2020,10,Kharif,2000,1800,2300
Rice,Punjab,2021,6,Kharif,1900,1700,2200
Rice,Punjab,2021,7,Kharif,1950,1750,2250
Rice,Punjab,2021,8,Kharif,2000,1800,2300
Rice,Punjab,2021,9,Kharif,2050,1850,2350
Rice,Punjab,2021,10,Kharif,2100,1900,2400
Rice,Punjab,2022,6,Kharif,2100,1900,2400
Rice,Punjab,2022,7,Kharif,2150,1950,2450
Rice,Punjab,2022,8,Kharif,2200,2000,2500
Rice,Punjab,2022,9,Kharif,2250,2050,2550
Rice,Punjab,2022,10,Kharif,2300,2100,2600
Rice,UP,2020,6,Kharif,1750,1550,2050
Rice,UP,2020,7,Kharif,1800,1600,2100
Rice,UP,2020,8,Kharif,1850,1650,2150
Rice,UP,2020,9,Kharif,1900,1700,2200
Rice,UP,2020,10,Kharif,1950,1750,2250
Rice,UP,2021,6,Kharif,1850,1650,2150
Rice,UP,2021,7,Kharif,1900,1700,2200
Rice,UP,2021,8,Kharif,1950,1750,2250
Rice,UP,2021,9,Kharif,2000,1800,2300
Rice,UP,2021,10,Kharif,2050,1850,2350
Rice,UP,2022,6,Kharif,2050,1850,2350
Rice,UP,2022,7,Kharif,2100,1900,2400
Rice,UP,2022,8,Kharif,2150,1950,2450
Rice,UP,2022,9,Kharif,2200,2000,2500
Rice,UP,2022,10,Kharif,2250,2050,2550
Wheat,Punjab,2020,11,Rabi,1800,1600,2100
Wheat,Punjab,2020,12,Rabi,1850,1650,2150
Wheat,Punjab,2021,1,Rabi,1900,1700,2200
Wheat,Punjab,2021,2,Rabi,1950,1750,2250
Wheat,Punjab,2021,3,Rabi,2000,1800,2300
Wheat,Punjab,2021,11,Rabi,2000,1800,2300
Wheat,Punjab,2021,12,Rabi,2050,1850,2350
Wheat,Punjab,2022,1,Rabi,2100,1900,2400
Wheat,Punjab,2022,2,Rabi,2150,1950,2450
Wheat,Punjab,2022,3,Rabi,2200,2000,2500
Wheat,UP,2020,11,Rabi,1700,1500,2000
Wheat,UP,2020,12,Rabi,1750,1550,2050
Wheat,UP,2021,1,Rabi,1800,1600,2100
Wheat,UP,2021,2,Rabi,1850,1650,2150
Wheat,UP,2021,3,Rabi,1900,1700,2200
Wheat,UP,2021,11,Rabi,1900,1700,2200
Wheat,UP,2021,12,Rabi,1950,1750,2250
Wheat,UP,2022,1,Rabi,2000,1800,2300
Wheat,UP,2022,2,Rabi,2050,1850,2350
Wheat,UP,2022,3,Rabi,2100,1900,2400
Wheat,MP,2020,11,Rabi,1650,1450,1950
Wheat,MP,2020,12,Rabi,1700,1500,2000
Wheat,MP,2021,1,Rabi,1750,1550,2050
Wheat,MP,2021,2,Rabi,1800,1600,2100
Wheat,MP,2021,3,Rabi,1850,1650,2150
Wheat,MP,2022,1,Rabi,1950,1750,2250
Wheat,MP,2022,2,Rabi,2000,1800,2300
Wheat,MP,2022,3,Rabi,2050,1850,2350
Tomato,Maharashtra,2020,1,Rabi,1200,900,1600
Tomato,Maharashtra,2020,2,Rabi,1300,1000,1700
Tomato,Maharashtra,2020,3,Rabi,1400,1100,1800
Tomato,Maharashtra,2020,6,Kharif,2000,1600,2500
Tomato,Maharashtra,2020,7,Kharif,2200,1800,2700
Tomato,Maharashtra,2020,8,Kharif,2500,2000,3000
Tomato,Maharashtra,2021,1,Rabi,1400,1100,1800
Tomato,Maharashtra,2021,2,Rabi,1500,1200,1900
Tomato,Maharashtra,2021,3,Rabi,1600,1300,2000
Tomato,Maharashtra,2021,6,Kharif,2200,1800,2700
Tomato,Maharashtra,2021,7,Kharif,2400,2000,2900
Tomato,Maharashtra,2021,8,Kharif,2700,2200,3200
Tomato,Maharashtra,2022,1,Rabi,1600,1300,2000
Tomato,Maharashtra,2022,2,Rabi,1700,1400,2100
Tomato,Maharashtra,2022,3,Rabi,1800,1500,2200
Tomato,Maharashtra,2022,6,Kharif,2400,2000,2900
Tomato,Maharashtra,2022,7,Kharif,2600,2200,3100
Tomato,Maharashtra,2022,8,Kharif,2900,2400,3400
Tomato,Karnataka,2020,1,Rabi,1100,850,1500
Tomato,Karnataka,2020,2,Rabi,1200,950,1600
Tomato,Karnataka,2020,6,Kharif,1900,1500,2400
Tomato,Karnataka,2020,7,Kharif,2100,1700,2600
Tomato,Karnataka,2021,1,Rabi,1300,1000,1700
Tomato,Karnataka,2021,2,Rabi,1400,1100,1800
Tomato,Karnataka,2021,6,Kharif,2100,1700,2600
Tomato,Karnataka,2021,7,Kharif,2300,1900,2800
Tomato,Karnataka,2022,1,Rabi,1500,1200,1900
Tomato,Karnataka,2022,2,Rabi,1600,1300,2000
Tomato,Karnataka,2022,6,Kharif,2300,1900,2800
Tomato,Karnataka,2022,7,Kharif,2500,2100,3000
Onion,Maharashtra,2020,1,Rabi,800,600,1100
Onion,Maharashtra,2020,2,Rabi,850,650,1150
Onion,Maharashtra,2020,3,Rabi,900,700,1200
Onion,Maharashtra,2020,10,Kharif,1500,1200,1900
Onion,Maharashtra,2020,11,Kharif,1600,1300,2000
Onion,Maharashtra,2021,1,Rabi,900,700,1200
Onion,Maharashtra,2021,2,Rabi,950,750,1250
Onion,Maharashtra,2021,3,Rabi,1000,800,1300
Onion,Maharashtra,2021,10,Kharif,1700,1400,2100
Onion,Maharashtra,2021,11,Kharif,1800,1500,2200
Onion,Maharashtra,2022,1,Rabi,1000,800,1300
Onion,Maharashtra,2022,2,Rabi,1050,850,1350
Onion,Maharashtra,2022,3,Rabi,1100,900,1400
Onion,Maharashtra,2022,10,Kharif,1900,1600,2300
Onion,Maharashtra,2022,11,Kharif,2000,1700,2400
Onion,Karnataka,2020,1,Rabi,750,550,1050
Onion,Karnataka,2020,2,Rabi,800,600,1100
Onion,Karnataka,2020,10,Kharif,1400,1100,1800
Onion,Karnataka,2021,1,Rabi,850,650,1150
Onion,Karnataka,2021,2,Rabi,900,700,1200
Onion,Karnataka,2021,10,Kharif,1600,1300,2000
Onion,Karnataka,2022,1,Rabi,950,750,1250
Onion,Karnataka,2022,2,Rabi,1000,800,1300
Onion,Karnataka,2022,10,Kharif,1800,1500,2200
Potato,UP,2020,12,Rabi,600,450,850
Potato,UP,2020,1,Rabi,650,500,900
Potato,UP,2020,2,Rabi,700,550,950
Potato,UP,2020,3,Rabi,750,600,1000
Potato,UP,2021,12,Rabi,700,550,950
Potato,UP,2021,1,Rabi,750,600,1000
Potato,UP,2021,2,Rabi,800,650,1050
Potato,UP,2021,3,Rabi,850,700,1100
Potato,UP,2022,12,Rabi,800,650,1050
Potato,UP,2022,1,Rabi,850,700,1100
Potato,UP,2022,2,Rabi,900,750,1150
Potato,UP,2022,3,Rabi,950,800,1200
Potato,Punjab,2020,12,Rabi,650,500,900
Potato,Punjab,2020,1,Rabi,700,550,950
Potato,Punjab,2020,2,Rabi,750,600,1000
Potato,Punjab,2021,12,Rabi,750,600,1000
Potato,Punjab,2021,1,Rabi,800,650,1050
Potato,Punjab,2021,2,Rabi,850,700,1100
Potato,Punjab,2022,12,Rabi,850,700,1100
Potato,Punjab,2022,1,Rabi,900,750,1150
Potato,Punjab,2022,2,Rabi,950,800,1200
Maize,MP,2020,6,Kharif,1400,1200,1700
Maize,MP,2020,7,Kharif,1450,1250,1750
Maize,MP,2020,8,Kharif,1500,1300,1800
Maize,MP,2020,9,Kharif,1550,1350,1850
Maize,MP,2021,6,Kharif,1550,1350,1850
Maize,MP,2021,7,Kharif,1600,1400,1900
Maize,MP,2021,8,Kharif,1650,1450,1950
Maize,MP,2021,9,Kharif,1700,1500,2000
Maize,MP,2022,6,Kharif,1700,1500,2000
Maize,MP,2022,7,Kharif,1750,1550,2050
Maize,MP,2022,8,Kharif,1800,1600,2100
Maize,MP,2022,9,Kharif,1850,1650,2150
Maize,Karnataka,2020,6,Kharif,1350,1150,1650
Maize,Karnataka,2020,7,Kharif,1400,1200,1700
Maize,Karnataka,2020,8,Kharif,1450,1250,1750
Maize,Karnataka,2021,6,Kharif,1500,1300,1800
Maize,Karnataka,2021,7,Kharif,1550,1350,1850
Maize,Karnataka,2021,8,Kharif,1600,1400,1900
Maize,Karnataka,2022,6,Kharif,1650,1450,1950
Maize,Karnataka,2022,7,Kharif,1700,1500,2000
Maize,Karnataka,2022,8,Kharif,1750,1550,2050
Maize,UP,2020,6,Kharif,1300,1100,1600
Maize,UP,2020,7,Kharif,1350,1150,1650
Maize,UP,2020,8,Kharif,1400,1200,1700
Maize,UP,2021,6,Kharif,1450,1250,1750
Maize,UP,2021,7,Kharif,1500,1300,1800
Maize,UP,2021,8,Kharif,1550,1350,1850
Maize,UP,2022,6,Kharif,1600,1400,1900
Maize,UP,2022,7,Kharif,1650,1450,1950
Maize,UP,2022,8,Kharif,1700,1500,2000
Rice,Karnataka,2020,6,Kharif,1700,1500,2000
Rice,Karnataka,2020,7,Kharif,1750,1550,2050
Rice,Karnataka,2020,8,Kharif,1800,1600,2100
Rice,Karnataka,2020,9,Kharif,1850,1650,2150
Rice,Karnataka,2021,6,Kharif,1850,1650,2150
Rice,Karnataka,2021,7,Kharif,1900,1700,2200
Rice,Karnataka,2021,8,Kharif,1950,1750,2250
Rice,Karnataka,2021,9,Kharif,2000,1800,2300
Rice,Karnataka,2022,6,Kharif,2000,1800,2300
Rice,Karnataka,2022,7,Kharif,2050,1850,2350
Rice,Karnataka,2022,8,Kharif,2100,1900,2400
Rice,Karnataka,2022,9,Kharif,2150,1950,2450
Rice,MP,2020,6,Kharif,1650,1450,1950
Rice,MP,2020,7,Kharif,1700,1500,2000
Rice,MP,2020,8,Kharif,1750,1550,2050
Rice,MP,2020,9,Kharif,1800,1600,2100
Rice,MP,2021,6,Kharif,1800,1600,2100
Rice,MP,2021,7,Kharif,1850,1650,2150
Rice,MP,2021,8,Kharif,1900,1700,2200
Rice,MP,2021,9,Kharif,1950,1750,2250
Rice,MP,2022,6,Kharif,1950,1750,2250
Rice,MP,2022,7,Kharif,2000,1800,2300
Rice,MP,2022,8,Kharif,2050,1850,2350
Rice,MP,2022,9,Kharif,2100,1900,2400
Wheat,Karnataka,2020,11,Rabi,1600,1400,1900
Wheat,Karnataka,2020,12,Rabi,1650,1450,1950
Wheat,Karnataka,2021,1,Rabi,1700,1500,2000
Wheat,Karnataka,2021,2,Rabi,1750,1550,2050
Wheat,Karnataka,2022,1,Rabi,1850,1650,2150
Wheat,Karnataka,2022,2,Rabi,1900,1700,2200
Potato,Maharashtra,2020,12,Rabi,700,550,950
Potato,Maharashtra,2020,1,Rabi,750,600,1000
Potato,Maharashtra,2020,2,Rabi,800,650,1050
Potato,Maharashtra,2021,12,Rabi,800,650,1050
Potato,Maharashtra,2021,1,Rabi,850,700,1100
Potato,Maharashtra,2021,2,Rabi,900,750,1150
Potato,Maharashtra,2022,12,Rabi,900,750,1150
Potato,Maharashtra,2022,1,Rabi,950,800,1200
Potato,Maharashtra,2022,2,Rabi,1000,850,1250
Potato,MP,2020,12,Rabi,580,430,830
Potato,MP,2020,1,Rabi,620,470,870
Potato,MP,2020,2,Rabi,660,510,910
Potato,MP,2021,12,Rabi,680,530,930
Potato,MP,2021,1,Rabi,720,570,970
Potato,MP,2021,2,Rabi,760,610,1010
Potato,MP,2022,12,Rabi,780,630,1030
Potato,MP,2022,1,Rabi,820,670,1070
Potato,MP,2022,2,Rabi,860,710,1110
Onion,UP,2020,1,Rabi,700,500,1000
Onion,UP,2020,2,Rabi,750,550,1050
Onion,UP,2020,10,Kharif,1300,1000,1700
Onion,UP,2021,1,Rabi,800,600,1100
Onion,UP,2021,2,Rabi,850,650,1150
Onion,UP,2021,10,Kharif,1500,1200,1900
Onion,UP,2022,1,Rabi,900,700,1200
Onion,UP,2022,2,Rabi,950,750,1250
Onion,UP,2022,10,Kharif,1700,1400,2100
Tomato,UP,2020,1,Rabi,1000,750,1400
Tomato,UP,2020,6,Kharif,1800,1400,2300
Tomato,UP,2021,1,Rabi,1200,950,1600
Tomato,UP,2021,6,Kharif,2000,1600,2500
Tomato,UP,2022,1,Rabi,1400,1100,1800
Tomato,UP,2022,6,Kharif,2200,1800,2700
Tomato,Punjab,2020,1,Rabi,950,700,1350
Tomato,Punjab,2020,6,Kharif,1700,1300,2200
Tomato,Punjab,2021,1,Rabi,1100,850,1500
Tomato,Punjab,2021,6,Kharif,1900,1500,2400
Tomato,Punjab,2022,1,Rabi,1300,1000,1700
Tomato,Punjab,2022,6,Kharif,2100,1700,2600
Rice,Punjab,2023,6,Kharif,2400,2200,2700
Rice,Punjab,2023,7,Kharif,2450,2250,2750
Rice,Punjab,2023,8,Kharif,2500,2300,2800
Rice,UP,2023,6,Kharif,2350,2150,2650
Rice,UP,2023,7,Kharif,2400,2200,2700
Wheat,Punjab,2023,2,Rabi,2300,2100,2600
Wheat,Punjab,2023,3,Rabi,2350,2150,2650
Wheat,UP,2023,2,Rabi,2200,2000,2500
Wheat,UP,2023,3,Rabi,2250,2050,2550
Tomato,Maharashtra,2023,1,Rabi,1900,1600,2300
Tomato,Maharashtra,2023,7,Kharif,2800,2400,3300
Onion,Maharashtra,2023,1,Rabi,1200,1000,1500
Onion,Maharashtra,2023,10,Kharif,2100,1800,2500
Potato,UP,2023,1,Rabi,1000,850,1250
Maize,MP,2023,7,Kharif,1950,1750,2250
Maize,Karnataka,2023,7,Kharif,1850,1650,2150
