crop,state,year,month,season,modal_price,min_price,max_price
Arhar (Tur),Andhra Pradesh,2020,10,Kharif,5650,5350,6250
Arhar (Tur),Andhra Pradesh,2020,11,Kharif,5900,5500,6350
Arhar (Tur),Andhra Pradesh,2020,12,Kharif,6400,6100,6950
Arhar (Tur),Andhra Pradesh,2021,10,Kharif,5850,5550,6300
Arhar (Tur),Andhra Pradesh,2021,11,Kharif,6400,6150,6750
Arhar (Tur),Andhra Pradesh,2021,12,Kharif,5800,5350,6500
Arhar (Tur),Andhra Pradesh,2022,10,Kharif,6350,6150,6650
Arhar (Tur),Andhra Pradesh,2022,11,Kharif,6750,6550,7250
Arhar (Tur),Andhra Pradesh,2022,12,Kharif,6550,6200,7200
Arhar (Tur),Andhra Pradesh,2023,10,Kharif,7150,6750,7800
Arhar (Tur),Andhra Pradesh,2023,11,Kharif,6600,6400,7150
Arhar (Tur),Andhra Pradesh,2023,12,Kharif,6500,6250,7050
Arhar (Tur),Assam,2020,10,Kharif,5650,5300,6300
Arhar (Tur),Assam,2020,11,Kharif,5100,4900,5800
Arhar (Tur),Assam,2020,12,Kharif,5800,5400,6600
Arhar (Tur),Assam,2021,10,Kharif,6250,5950,6600
Arhar (Tur),Assam,2021,11,Kharif,5350,4950,5700
Arhar (Tur),Assam,2021,12,Kharif,5600,5250,6150
Arhar (Tur),Assam,2022,10,Kharif,5700,5400,6300
Arhar (Tur),Assam,2022,11,Kharif,5700,5450,6150
Arhar (Tur),Assam,2022,12,Kharif,5750,5450,6300
Arhar (Tur),Assam,2023,10,Kharif,6550,6250,7150
Arhar (Tur),Assam,2023,11,Kharif,6550,6350,7050
Arhar (Tur),Assam,2023,12,Kharif,6200,6000,6750
Arhar (Tur),Bihar,2020,10,Kharif,5850,5450,6350
Arhar (Tur),Bihar,2020,11,Kharif,5800,5400,6400
Arhar (Tur),Bihar,2020,12,Kharif,5600,5250,6250
Arhar (Tur),Bihar,2021,10,Kharif,5950,5550,6400
Arhar (Tur),Bihar,2021,11,Kharif,5950,5700,6600
Arhar (Tur),Bihar,2021,12,Kharif,6250,5900,6800
Arhar (Tur),Bihar,2022,10,Kharif,6700,6400,7250
Arhar (Tur),Bihar,2022,11,Kharif,6150,5850,6550
Arhar (Tur),Bihar,2022,12,Kharif,5900,5600,6700
Arhar (Tur),Bihar,2023,10,Kharif,6400,6200,7000
Arhar (Tur),Bihar,2023,11,Kharif,6150,5800,6450
Arhar (Tur),Bihar,2023,12,Kharif,6950,6600,7550
Arhar (Tur),Chhattisgarh,2020,10,Kharif,5650,5250,6400
Arhar (Tur),Chhattisgarh,2020,11,Kharif,5450,5200,6150
Arhar (Tur),Chhattisgarh,2020,12,Kharif,5950,5650,6600
Arhar (Tur),Chhattisgarh,2021,10,Kharif,5900,5500,6450
Arhar (Tur),Chhattisgarh,2021,11,Kharif,6450,6150,7050
Arhar (Tur),Chhattisgarh,2021,12,Kharif,5550,5250,6300
Arhar (Tur),Chhattisgarh,2022,10,Kharif,6150,5950,6750
Arhar (Tur),Chhattisgarh,2022,11,Kharif,6550,6300,7000
Arhar (Tur),Chhattisgarh,2022,12,Kharif,6200,6000,6650
Arhar (Tur),Chhattisgarh,2023,10,Kharif,6650,6450,7250
Arhar (Tur),Chhattisgarh,2023,11,Kharif,6300,6100,6950
Arhar (Tur),Chhattisgarh,2023,12,Kharif,6200,5950,6800
Arhar (Tur),Goa,2020,10,Kharif,6450,6150,6900
Arhar (Tur),Goa,2020,11,Kharif,6850,6500,7350
Arhar (Tur),Goa,2020,12,Kharif,6300,5950,6800
Arhar (Tur),Goa,2021,10,Kharif,7350,7000,7750
Arhar (Tur),Goa,2021,11,Kharif,6600,6250,7100
Arhar (Tur),Goa,2021,12,Kharif,6900,6600,7300
Arhar (Tur),Goa,2022,10,Kharif,7300,7100,7900
Arhar (Tur),Goa,2022,11,Kharif,7550,7200,7950
Arhar (Tur),Goa,2022,12,Kharif,7000,6650,7500
Arhar (Tur),Goa,2023,10,Kharif,7650,7250,8400
Arhar (Tur),Goa,2023,11,Kharif,7300,7000,7750
Arhar (Tur),Goa,2023,12,Kharif,8000,7550,8500
Arhar (Tur),Gujarat,2020,10,Kharif,6100,5800,6500
Arhar (Tur),Gujarat,2020,11,Kharif,5800,5550,6400
Arhar (Tur),Gujarat,2020,12,Kharif,6500,6150,7000
Arhar (Tur),Gujarat,2021,10,Kharif,6700,6450,7200
Arhar (Tur),Gujarat,2021,11,Kharif,6900,6600,7350
Arhar (Tur),Gujarat,2021,12,Kharif,6100,5800,6550
Arhar (Tur),Gujarat,2022,10,Kharif,7200,6800,7850
Arhar (Tur),Gujarat,2022,11,Kharif,6650,6300,7100
Arhar (Tur),Gujarat,2022,12,Kharif,6250,5900,6700
Arhar (Tur),Gujarat,2023,10,Kharif,7600,7200,8350
Arhar (Tur),Gujarat,2023,11,Kharif,7200,6800,7900
Arhar (Tur),Gujarat,2023,12,Kharif,6750,6500,7350
Arhar (Tur),Haryana,2020,10,Kharif,6650,6450,7150
Arhar (Tur),Haryana,2020,11,Kharif,5950,5700,6550
Arhar (Tur),Haryana,2020,12,Kharif,6550,6250,6950
Arhar (Tur),Haryana,2021,10,Kharif,6950,6700,7500
Arhar (Tur),Haryana,2021,11,Kharif,7050,6650,7700
Arhar (Tur),Haryana,2021,12,Kharif,6750,6400,7350
Arhar (Tur),Haryana,2022,10,Kharif,6700,6450,7100
Arhar (Tur),Haryana,2022,11,Kharif,6400,6200,6850
Arhar (Tur),Haryana,2022,12,Kharif,7250,6900,7750
Arhar (Tur),Haryana,2023,10,Kharif,7300,6900,8000
Arhar (Tur),Haryana,2023,11,Kharif,6750,6350,7350
Arhar (Tur),Haryana,2023,12,Kharif,7200,6850,7800
Arhar (Tur),Himachal Pradesh,2020,10,Kharif,6350,6050,6700
Arhar (Tur),Himachal Pradesh,2020,11,Kharif,6350,6100,6900
Arhar (Tur),Himachal Pradesh,2020,12,Kharif,5950,5700,6550
Arhar (Tur),Himachal Pradesh,2021,10,Kharif,6050,5850,6350
Arhar (Tur),Himachal Pradesh,2021,11,Kharif,6100,5750,6400
Arhar (Tur),Himachal Pradesh,2021,12,Kharif,7000,6600,7650
Arhar (Tur),Himachal Pradesh,2022,10,Kharif,6350,6000,6700
Arhar (Tur),Himachal Pradesh,2022,11,Kharif,6450,6200,6950
Arhar (Tur),Himachal Pradesh,2022,12,Kharif,6450,6150,7050
Arhar (Tur),Himachal Pradesh,2023,10,Kharif,7700,7350,8450
Arhar (Tur),Himachal Pradesh,2023,11,Kharif,7350,7000,7750
Arhar (Tur),Himachal Pradesh,2023,12,Kharif,7400,7050,8100
Arhar (Tur),Jammu & Kashmir,2020,10,Kharif,6300,6100,6700
Arhar (Tur),Jammu & Kashmir,2020,11,Kharif,6050,5800,6650
Arhar (Tur),Jammu & Kashmir,2020,12,Kharif,6150,5800,6750
Arhar (Tur),Jammu & Kashmir,2021,10,Kharif,7250,7000,7700
Arhar (Tur),Jammu & Kashmir,2021,11,Kharif,6400,6150,7000
Arhar (Tur),Jammu & Kashmir,2021,12,Kharif,7050,6750,7650
Arhar (Tur),Jammu & Kashmir,2022,10,Kharif,6600,6300,7250
Arhar (Tur),Jammu & Kashmir,2022,11,Kharif,7350,6950,7850
Arhar (Tur),Jammu & Kashmir,2022,12,Kharif,7400,7150,7950
Arhar (Tur),Jammu & Kashmir,2023,10,Kharif,7050,6850,7600
Arhar (Tur),Jammu & Kashmir,2023,11,Kharif,6950,6700,7600
Arhar (Tur),Jammu & Kashmir,2023,12,Kharif,6950,6650,7350
Arhar (Tur),Jharkhand,2020,10,Kharif,5700,5300,6350
Arhar (Tur),Jharkhand,2020,11,Kharif,5750,5450,6450
Arhar (Tur),Jharkhand,2020,12,Kharif,5850,5450,6500
Arhar (Tur),Jharkhand,2021,10,Kharif,5850,5400,6300
Arhar (Tur),Jharkhand,2021,11,Kharif,5450,5200,5850
Arhar (Tur),Jharkhand,2021,12,Kharif,6200,5850,6650
Arhar (Tur),Jharkhand,2022,10,Kharif,6250,6050,6650
Arhar (Tur),Jharkhand,2022,11,Kharif,6250,5950,6600
Arhar (Tur),Jharkhand,2022,12,Kharif,5900,5450,6600
Arhar (Tur),Jharkhand,2023,10,Kharif,6750,6450,7300
Arhar (Tur),Jharkhand,2023,11,Kharif,6050,5850,6400
Arhar (Tur),Jharkhand,2023,12,Kharif,6200,5900,6600
Arhar (Tur),Karnataka,2020,10,Kharif,5600,5300,6250
Arhar (Tur),Karnataka,2020,11,Kharif,6300,6100,6900
Arhar (Tur),Karnataka,2020,12,Kharif,6050,5850,6450
Arhar (Tur),Karnataka,2021,10,Kharif,6200,6000,6700
Arhar (Tur),Karnataka,2021,11,Kharif,5900,5600,6600
Arhar (Tur),Karnataka,2021,12,Kharif,6400,6050,7050
Arhar (Tur),Karnataka,2022,10,Kharif,6950,6750,7600
Arhar (Tur),Karnataka,2022,11,Kharif,6450,6250,7000
Arhar (Tur),Karnataka,2022,12,Kharif,6800,6550,7250
Arhar (Tur),Karnataka,2023,10,Kharif,7500,7200,8200
Arhar (Tur),Karnataka,2023,11,Kharif,7350,7050,7800
Arhar (Tur),Karnataka,2023,12,Kharif,7350,7100,7800
Arhar (Tur),Kerala,2020,10,Kharif,6650,6350,7100
Arhar (Tur),Kerala,2020,11,Kharif,6050,5850,6450
Arhar (Tur),Kerala,2020,12,Kharif,6350,6100,6750
Arhar (Tur),Kerala,2021,10,Kharif,6650,6400,7200
Arhar (Tur),Kerala,2021,11,Kharif,6950,6650,7350
Arhar (Tur),Kerala,2021,12,Kharif,6350,6100,6750
Arhar (Tur),Kerala,2022,10,Kharif,7050,6800,7600
Arhar (Tur),Kerala,2022,11,Kharif,7600,7150,8000
Arhar (Tur),Kerala,2022,12,Kharif,6850,6600,7250
Arhar (Tur),Kerala,2023,10,Kharif,7850,7450,8300
Arhar (Tur),Kerala,2023,11,Kharif,7950,7550,8400
Arhar (Tur),Kerala,2023,12,Kharif,7950,7500,8500
Arhar (Tur),Madhya Pradesh,2020,10,Kharif,6000,5750,6450
Arhar (Tur),Madhya Pradesh,2020,11,Kharif,6100,5800,6550
Arhar (Tur),Madhya Pradesh,2020,12,Kharif,5250,4950,5800
Arhar (Tur),Madhya Pradesh,2021,10,Kharif,6400,6150,6900
Arhar (Tur),Madhya Pradesh,2021,11,Kharif,6450,6100,6750
Arhar (Tur),Madhya Pradesh,2021,12,Kharif,5800,5500,6400
Arhar (Tur),Madhya Pradesh,2022,10,Kharif,6800,6550,7200
Arhar (Tur),Madhya Pradesh,2022,11,Kharif,6050,5850,6400
Arhar (Tur),Madhya Pradesh,2022,12,Kharif,6650,6350,7050
Arhar (Tur),Madhya Pradesh,2023,10,Kharif,6150,5950,6650
Arhar (Tur),Madhya Pradesh,2023,11,Kharif,6750,6400,7150
Arhar (Tur),Madhya Pradesh,2023,12,Kharif,6800,6450,7400
Arhar (Tur),Maharashtra,2020,10,Kharif,5750,5350,6250
Arhar (Tur),Maharashtra,2020,11,Kharif,6450,6200,6850
Arhar (Tur),Maharashtra,2020,12,Kharif,6200,5900,6550
Arhar (Tur),Maharashtra,2021,10,Kharif,6550,6300,7150
Arhar (Tur),Maharashtra,2021,11,Kharif,6250,5950,6750
Arhar (Tur),Maharashtra,2021,12,Kharif,6650,6250,7000
Arhar (Tur),Maharashtra,2022,10,Kharif,7100,6700,7600
Arhar (Tur),Maharashtra,2022,11,Kharif,7100,6700,7600
Arhar (Tur),Maharashtra,2022,12,Kharif,6450,6200,6800
Arhar (Tur),Maharashtra,2023,10,Kharif,6850,6450,7450
Arhar (Tur),Maharashtra,2023,11,Kharif,7650,7400,8200
Arhar (Tur),Maharashtra,2023,12,Kharif,6900,6700,7450
Arhar (Tur),Manipur,2020,10,Kharif,5900,5450,6400
Arhar (Tur),Manipur,2020,11,Kharif,5400,5200,6000
Arhar (Tur),Manipur,2020,12,Kharif,5450,5000,6200
Arhar (Tur),Manipur,2021,10,Kharif,6150,5950,6450
Arhar (Tur),Manipur,2021,11,Kharif,6300,6000,6750
Arhar (Tur),Manipur,2021,12,Kharif,6200,5850,6650
Arhar (Tur),Manipur,2022,10,Kharif,6500,6300,6950
Arhar (Tur),Manipur,2022,11,Kharif,6000,5750,6300
Arhar (Tur),Manipur,2022,12,Kharif,6850,6500,7400
Arhar (Tur),Manipur,2023,10,Kharif,7050,6750,7750
Arhar (Tur),Manipur,2023,11,Kharif,6700,6500,7350
Arhar (Tur),Manipur,2023,12,Kharif,6350,6050,6900
Arhar (Tur),Meghalaya,2020,10,Kharif,5400,5000,5900
Arhar (Tur),Meghalaya,2020,11,Kharif,5750,5350,6450
Arhar (Tur),Meghalaya,2020,12,Kharif,5400,5100,5950
Arhar (Tur),Meghalaya,2021,10,Kharif,5750,5500,6200
Arhar (Tur),Meghalaya,2021,11,Kharif,6100,5900,6600
Arhar (Tur),Meghalaya,2021,12,Kharif,6350,6150,6900
Arhar (Tur),Meghalaya,2022,10,Kharif,5850,5600,6400
Arhar (Tur),Meghalaya,2022,11,Kharif,6200,6000,6650
Arhar (Tur),Meghalaya,2022,12,Kharif,6300,6050,6800
Arhar (Tur),Meghalaya,2023,10,Kharif,7000,6750,7550
Arhar (Tur),Meghalaya,2023,11,Kharif,6350,6100,6750
Arhar (Tur),Meghalaya,2023,12,Kharif,6600,6250,7250
Arhar (Tur),Odisha,2020,10,Kharif,5100,4900,5700
Arhar (Tur),Odisha,2020,11,Kharif,5300,5000,5850
Arhar (Tur),Odisha,2020,12,Kharif,5700,5300,6150
Arhar (Tur),Odisha,2021,10,Kharif,6050,5750,6450
Arhar (Tur),Odisha,2021,11,Kharif,5900,5450,6600
Arhar (Tur),Odisha,2021,12,Kharif,5550,5200,6150
Arhar (Tur),Odisha,2022,10,Kharif,6300,5950,6850
Arhar (Tur),Odisha,2022,11,Kharif,6300,6100,6650
Arhar (Tur),Odisha,2022,12,Kharif,5600,5350,6000
Arhar (Tur),Odisha,2023,10,Kharif,6700,6300,7050
Arhar (Tur),Odisha,2023,11,Kharif,6250,5950,6650
Arhar (Tur),Odisha,2023,12,Kharif,6450,6100,6900
Arhar (Tur),Punjab,2020,10,Kharif,6100,5750,6600
Arhar (Tur),Punjab,2020,11,Kharif,6450,6050,6950
Arhar (Tur),Punjab,2020,12,Kharif,6450,6100,6900
Arhar (Tur),Punjab,2021,10,Kharif,6850,6600,7450
Arhar (Tur),Punjab,2021,11,Kharif,6350,6100,6750
Arhar (Tur),Punjab,2021,12,Kharif,6900,6550,7550
Arhar (Tur),Punjab,2022,10,Kharif,7150,6950,7700
Arhar (Tur),Punjab,2022,11,Kharif,7100,6850,7500
Arhar (Tur),Punjab,2022,12,Kharif,6950,6650,7500
Arhar (Tur),Punjab,2023,10,Kharif,8050,7750,8650
Arhar (Tur),Punjab,2023,11,Kharif,7750,7350,8350
Arhar (Tur),Punjab,2023,12,Kharif,7050,6750,7600
Arhar (Tur),Rajasthan,2020,10,Kharif,5850,5400,6350
Arhar (Tur),Rajasthan,2020,11,Kharif,6000,5700,6350
Arhar (Tur),Rajasthan,2020,12,Kharif,5500,5250,6200
Arhar (Tur),Rajasthan,2021,10,Kharif,5850,5550,6400
Arhar (Tur),Rajasthan,2021,11,Kharif,5650,5400,6200
Arhar (Tur),Rajasthan,2021,12,Kharif,6050,5700,6400
Arhar (Tur),Rajasthan,2022,10,Kharif,6400,6100,6900
Arhar (Tur),Rajasthan,2022,11,Kharif,6500,6300,7050
Arhar (Tur),Rajasthan,2022,12,Kharif,6550,6150,7150
Arhar (Tur),Rajasthan,2023,10,Kharif,7150,6750,7850
Arhar (Tur),Rajasthan,2023,11,Kharif,6300,5950,6850
Arhar (Tur),Rajasthan,2023,12,Kharif,6900,6600,7450
Arhar (Tur),Tamil Nadu,2020,10,Kharif,5950,5500,6500
Arhar (Tur),Tamil Nadu,2020,11,Kharif,5600,5150,6050
Arhar (Tur),Tamil Nadu,2020,12,Kharif,6250,6000,6650
Arhar (Tur),Tamil Nadu,2021,10,Kharif,6400,6200,6750
Arhar (Tur),Tamil Nadu,2021,11,Kharif,6300,6050,6900
Arhar (Tur),Tamil Nadu,2021,12,Kharif,6300,5950,6750
Arhar (Tur),Tamil Nadu,2022,10,Kharif,6950,6700,7550
Arhar (Tur),Tamil Nadu,2022,11,Kharif,6950,6600,7600
Arhar (Tur),Tamil Nadu,2022,12,Kharif,7050,6750,7450
Arhar (Tur),Tamil Nadu,2023,10,Kharif,6500,6200,6950
Arhar (Tur),Tamil Nadu,2023,11,Kharif,7450,7200,8000
Arhar (Tur),Tamil Nadu,2023,12,Kharif,7050,6700,7700
Arhar (Tur),Telangana,2020,10,Kharif,5550,5250,5950
Arhar (Tur),Telangana,2020,11,Kharif,6000,5800,6450
Arhar (Tur),Telangana,2020,12,Kharif,5800,5450,6350
Arhar (Tur),Telangana,2021,10,Kharif,6550,6200,7050
Arhar (Tur),Telangana,2021,11,Kharif,6000,5800,6350
Arhar (Tur),Telangana,2021,12,Kharif,5850,5450,6350
Arhar (Tur),Telangana,2022,10,Kharif,7000,6700,7450
Arhar (Tur),Telangana,2022,11,Kharif,6750,6350,7200
Arhar (Tur),Telangana,2022,12,Kharif,6900,6550,7450
Arhar (Tur),Telangana,2023,10,Kharif,6600,6400,7200
Arhar (Tur),Telangana,2023,11,Kharif,6800,6400,7300
Arhar (Tur),Telangana,2023,12,Kharif,7050,6750,7550
Arhar (Tur),Tripura,2020,10,Kharif,5850,5550,6650
Arhar (Tur),Tripura,2020,11,Kharif,5150,4850,5850
Arhar (Tur),Tripura,2020,12,Kharif,5200,4900,5850
Arhar (Tur),Tripura,2021,10,Kharif,5500,5200,6050
Arhar (Tur),Tripura,2021,11,Kharif,5800,5500,6450
Arhar (Tur),Tripura,2021,12,Kharif,5350,5000,6050
Arhar (Tur),Tripura,2022,10,Kharif,6300,6000,6900
Arhar (Tur),Tripura,2022,11,Kharif,5950,5700,6400
Arhar (Tur),Tripura,2022,12,Kharif,6450,6200,6800
Arhar (Tur),Tripura,2023,10,Kharif,6050,5700,6400
Arhar (Tur),Tripura,2023,11,Kharif,6550,6300,7050
Arhar (Tur),Tripura,2023,12,Kharif,6600,6250,7050
Arhar (Tur),Uttar Pradesh,2020,10,Kharif,6000,5650,6550
Arhar (Tur),Uttar Pradesh,2020,11,Kharif,6050,5700,6550
Arhar (Tur),Uttar Pradesh,2020,12,Kharif,5600,5350,6200
Arhar (Tur),Uttar Pradesh,2021,10,Kharif,5600,5350,6400
Arhar (Tur),Uttar Pradesh,2021,11,Kharif,6200,6000,6750
Arhar (Tur),Uttar Pradesh,2021,12,Kharif,6200,5900,6500
Arhar (Tur),Uttar Pradesh,2022,10,Kharif,5950,5550,6550
Arhar (Tur),Uttar Pradesh,2022,11,Kharif,6750,6550,7200
Arhar (Tur),Uttar Pradesh,2022,12,Kharif,6600,6300,7050
Arhar (Tur),Uttar Pradesh,2023,10,Kharif,6450,6200,6900
Arhar (Tur),Uttar Pradesh,2023,11,Kharif,6400,6200,6950
Arhar (Tur),Uttar Pradesh,2023,12,Kharif,6150,5900,6600
Arhar (Tur),Uttarakhand,2020,10,Kharif,5700,5250,6250
Arhar (Tur),Uttarakhand,2020,11,Kharif,5800,5500,6200
Arhar (Tur),Uttarakhand,2020,12,Kharif,5750,5350,6300
Arhar (Tur),Uttarakhand,2021,10,Kharif,5750,5300,6550
Arhar (Tur),Uttarakhand,2021,11,Kharif,6650,6250,7250
Arhar (Tur),Uttarakhand,2021,12,Kharif,5900,5600,6700
Arhar (Tur),Uttarakhand,2022,10,Kharif,6150,5900,6650
Arhar (Tur),Uttarakhand,2022,11,Kharif,6950,6750,7450
Arhar (Tur),Uttarakhand,2022,12,Kharif,6750,6400,7150
Arhar (Tur),Uttarakhand,2023,10,Kharif,7200,6800,7750
Arhar (Tur),Uttarakhand,2023,11,Kharif,7050,6750,7550
Arhar (Tur),Uttarakhand,2023,12,Kharif,7400,7000,8050
Arhar (Tur),West Bengal,2020,10,Kharif,6200,5900,6800
Arhar (Tur),West Bengal,2020,11,Kharif,6000,5750,6450
Arhar (Tur),West Bengal,2020,12,Kharif,5950,5650,6750
Arhar (Tur),West Bengal,2021,10,Kharif,5900,5600,6700
Arhar (Tur),West Bengal,2021,11,Kharif,6600,6300,7050
Arhar (Tur),West Bengal,2021,12,Kharif,6350,6050,6700
Arhar (Tur),West Bengal,2022,10,Kharif,6150,5900,6600
Arhar (Tur),West Bengal,2022,11,Kharif,6400,6100,6900
Arhar (Tur),West Bengal,2022,12,Kharif,6900,6600,7300
Arhar (Tur),West Bengal,2023,10,Kharif,7250,6800,7750
Arhar (Tur),West Bengal,2023,11,Kharif,7100,6850,7500
Arhar (Tur),West Bengal,2023,12,Kharif,7150,6750,7750
Bajra,Andhra Pradesh,2020,8,Kharif,1850,1650,2200
Bajra,Andhra Pradesh,2020,9,Kharif,1850,1600,2050
Bajra,Andhra Pradesh,2020,10,Kharif,2000,1750,2250
Bajra,Andhra Pradesh,2021,8,Kharif,1950,1650,2250
Bajra,Andhra Pradesh,2021,9,Kharif,2000,1700,2300
Bajra,Andhra Pradesh,2021,10,Kharif,1900,1650,2200
Bajra,Andhra Pradesh,2022,8,Kharif,2050,1800,2350
Bajra,Andhra Pradesh,2022,9,Kharif,2250,1950,2700
Bajra,Andhra Pradesh,2022,10,Kharif,2150,1850,2400
Bajra,Andhra Pradesh,2023,8,Kharif,2150,1900,2400
Bajra,Andhra Pradesh,2023,9,Kharif,2150,1900,2450
Bajra,Andhra Pradesh,2023,10,Kharif,2250,2000,2600
